date,location
2020-06-16 15:04:31+00:00,"(34.3779216009, -89.5477964916)"
2020-06-30 11:38:00-05:00,"(32.6827530602, -97.3738616674)"
2020-07-15 10:09:07-05:00,"(34.5285119722, -90.5719339722)"
2020-07-17 09:36:25-05:00,"(44.71794167, -93.1162805)"
2020-07-16 12:20:00-05:00,"(30.1713888461, -97.6720707485)"
2020-07-17 10:03:18+00:00,"(44.96821667, -96.967095)"
2020-07-18 09:29:48-04:00,
2020-07-20 13:16:00-10:00,"(42.298484236, -85.1636742259)"
2020-07-23 13:02:55+00:00,"(42.2265253683, -93.9050810099)"
2020-07-21 09:41:15-10:00,"(34.545875, -90.5522619722)"
2020-07-20 15:56:05-05:00,"(34.557563, -90.561484)"
2020-07-20 12:01:18-05:00,"(34.5472719722, -90.555829)"
2020-07-26 10:37:57-05:00,"(44.75890833, -93.18551667)"
2020-07-22 10:13:13-05:00,"(34.39958833, -90.61015333)"
2020-07-22 09:27:28-05:00,"(34.39916667, -90.609755)"
2020-07-14 09:56:42-05:00,"(34.5278589722, -90.571994)"
2020-07-28 17:42:34-05:00,"(44.72084667, -93.1370695)"
2001-09-12 16:16:00-04:00,"(42.027996668, -82.7419283448)"
2001-09-21 15:54:00-04:00,"(41.8276953862, -82.6391616148)"
2001-09-22 18:17:00-04:00,"(41.8263166294, -82.6404060756)"
2020-08-01 09:43:00-04:00,"(42.9502447222, -81.4030213889)"
2020-08-03 10:35:49-05:00,"(44.7207711261, -93.1362143442)"
2020-08-04 11:52:47-05:00,"(34.212779, -90.856792)"
2020-08-04 11:50:01-05:00,"(34.213725, -90.85592833)"
2020-08-04 10:23:41-10:00,"(34.2053939722, -90.8587079722)"
2020-08-03 16:11:09-05:00,"(34.19372167, -90.867845)"
2020-08-03 16:10:01-05:00,"(34.19381667, -90.86798)"
2020-08-03 15:55:11-05:00,"(34.193589, -90.868185)"
2020-08-03 15:22:44-05:00,"(34.19471333, -90.86657)"
2020-08-17 00:00:00,"(33.6093190068, -91.1580523794)"
2020-08-18 12:23:00+00:00,"(44.9061138889, -93.1941388889)"
2020-08-20 08:44:24+00:00,"(43.1817122222, -89.2243641667)"
2020-08-20 08:46:19-05:00,"(44.75100833, -93.08036117)"
2020-08-19 12:28:00-10:00,"(42.2981121101, -85.1647910938)"
2020-08-20 16:16:32-05:00,"(44.85281667, -93.35803833)"
2020-08-21 10:59:42-04:00,"(38.906295, -76.96041167)"
2020-08-22 08:18:21-05:00,"(44.06542217, -92.75419667)"
2020-08-16 11:48:50-05:00,"(33.5826277542, -91.1591970921)"
2020-08-23 08:56:00-04:00,"(42.9499913889, -81.4026130556)"
2020-08-24 15:32:16+00:00,"(40.5310879975, -89.006128159)"
2020-08-16 12:00:40-05:00,"(33.583355087, -91.1581356078)"
2020-08-16 14:52:27-05:00,"(33.5778839722, -91.165767)"
2020-08-16 15:31:12-05:00,"(33.578954, -91.164454)"
2020-08-16 16:49:00-05:00,"(33.582379, -91.159147)"
2020-08-26 17:08:17-05:00,"(44.75865333, -92.87062833)"
2020-08-26 17:09:06-05:00,"(44.75837833, -92.870955)"
2020-08-27 18:29:26+00:00,"(36.1333305, -96.42674167)"
2020-08-17 09:11:22-05:00,"(33.6153369722, -91.1597)"
2020-08-17 10:13:52-05:00,"(33.615929, -91.1594979722)"
2020-08-29 16:42:58-04:00,"(39.6565132943, -86.2380842804)"
2020-08-30 11:13:02-05:00,"(43.6023502692, -91.2696882087)"
2020-09-02 10:53:51-05:00,"(44.5135, -92.95028)"
2020-08-20 09:55:33-05:00,"(33.39977, -91.12612783)"
2020-08-29 00:00:00,"(33.2910359714, -91.1629569086)"
2020-08-29 13:19:33-05:00,"(33.2611509722, -91.1193329722)"
2020-09-05 08:26:37-05:00,"(44.739205, -95.43422)"
2020-09-06 14:38:00-05:00,"(34.62149, -92.8996)"
2020-09-06 10:23:14-05:00,"(43.1240305, -88.91573333)"
2020-09-06 10:13:52-05:00,"(43.1237945, -88.91587)"
2020-09-06 10:22:36-05:00,"(43.1239445, -88.915755)"
2020-09-06 10:13:56-05:00,"(43.12380283, -88.91587)"
2020-09-06 11:24:00-04:00,"(42.7134027778, -84.4302888889)"
2020-08-30 13:02:00-05:00,"(33.241885, -91.1041989722)"
2020-08-18 16:26:00-05:00,"(33.5953159722, -91.139757)"
