,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue,land_cover_class,human_mediated/natural,proportion_agricultural_300m,shannon_idx_300m,top_class_300m
19,176872161,95c938a8-f762-11e1-a439-00145eb45e9a,0b0b418b-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Erie, 1 mi W",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,37.56811,-95.26161,3615.0,,,,,,8/14/93,14.0,8.0,1993,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,108650,,Ronald L McGregor,,CC_BY_4_0,,W W Holland,,,09:33.0,,,Woody Wetlands,natural,67.90710688304421,1.3101788661172584,Cultivated Crops
20,176872162,95c938a8-f762-11e1-a439-00145eb45e9a,0b1cbbdf-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"De Soto, 1.2 mi S; Sunflower Army Ammunition Plant, W side of Kill Creek, N of Classification Yard",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.954773,-94.978449,316.0,,,,,,9/23/93,23.0,9.0,1993,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,109832,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,09:33.7,,,Pasture/Hay,human_mediated,37.76223776223776,1.4818847114816898,Deciduous Forest
21,176872163,95c938a8-f762-11e1-a439-00145eb45e9a,0b1e51ba-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Erie, 1 mi E",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,37.56811,-95.22502,3615.0,,,,,,9/28/93,28.0,9.0,1993,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,110033,,Ronald L McGregor,,CC_BY_4_0,,W W Holland,,,09:33.9,,,Cultivated Crops,human_mediated,88.2089969265158,1.0884614875235648,Cultivated Crops
22,176872164,95c938a8-f762-11e1-a439-00145eb45e9a,0b3c4a42-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Parsons, 3 mi S, 1 mi E; Kansas Army Ammunition Plant, W-central part",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,37.29416,-95.210223,285.0,,,,,,8/30/94,30.0,8.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,111589,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,09:34.6,StillImage,,Deciduous Forest,natural,66.75985462678221,1.355608826453991,Cultivated Crops
23,176872165,95c938a8-f762-11e1-a439-00145eb45e9a,0b410993-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Lyon Co line, 1 mi W, ca 2.75 mi N of I-35",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.33217,-96.3733,43.61,,,,,,9/22/94,22.0,9.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,111977,,Ronald L McGregor,,CC_BY_4_0,,Kevin Edwards,,,09:34.8,,GEODETIC_DATUM_ASSUMED_WGS84,Grassland/Herbaceous,natural,9.126649817467005,0.706372703031231,Grassland/Herbaceous
24,176872167,95c938a8-f762-11e1-a439-00145eb45e9a,0b507110-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,Along Croco Road 0.7 mi S jct with SE 95rd Street,Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.888929,-95.612355,200.0,,,,,,11/12/94,12.0,11.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,113042,,Ronald L McGregor,,CC_BY_4_0,,Caleb A Morse,,,09:35.8,,,Deciduous Forest,natural,68.5802296275553,1.389511374323,Cultivated Crops
25,176872168,95c938a8-f762-11e1-a439-00145eb45e9a,0b566995-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Ft Leavenworth Military Reservation, E-central part",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.365715,-94.892172,960.0,,,,,,10/3/95,3.0,10.0,1995,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,113530,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman,,,09:36.4,,,Woody Wetlands,natural,27.94076557697681,1.4457502212463045,Woody Wetlands
26,176872169,95c938a8-f762-11e1-a439-00145eb45e9a,0b5909a5-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Clay Center, 1 mi S along KS 15",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.357765,-97.125594,811.0,,,,,,8/17/95,17.0,8.0,1995,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,113705,,Ronald L McGregor,,CC_BY_4_0,,Craig C Freeman; Jeff Elliott,,,09:36.3,,,Cultivated Crops,human_mediated,69.66797974113675,1.1554477695967136,Cultivated Crops
27,176872170,95c938a8-f762-11e1-a439-00145eb45e9a,0b62f115-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"7 mi S Hwy 68, 3 mi E Franklin County line",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,38.484274,-95.010107,1758.0,,,,,,8/27/94,27.0,8.0,1994,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,114118,,Ronald L McGregor,,CC_BY_4_0,,Jennifer R Milburn,,,09:36.3,StillImage,,Deciduous Forest,natural,67.08507670850767,1.4157404084158596,Cultivated Crops
28,176872174,95c938a8-f762-11e1-a439-00145eb45e9a,0b8e2f1a-ba8b-11e3-8cfe-90b11c41863e,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus tuberculatus,,SPECIES,Amaranthus tuberculatus (Moq.) J.D.Sauer,Amaranthus tuberculatus,,US,"Newman, 0.7 mi S, 0.5 mi W",Kansas,PRESENT,,b554c320-0560-11d8-b851-b8a03c50a862,39.065633,-95.363702,1095.0,,,,,,8/21/96,21.0,8.0,1996,8577467,8577467,PRESERVED_SPECIMEN,KU,KANU,313145,,Ronald L McGregor,,CC_BY_4_0,,Robert E Russell; Ronald L McGregor,,,09:38.9,,,Cultivated Crops,human_mediated,82.65249020705093,0.9354436354107468,Cultivated Crops
