Sample,Homo,Het,Haploid.Cov,Error.Rate,Model.Fit,Genome.Size..b.,Genome.Size..Mb.,Label,Pop.x,Family,Env.x,Sex,Treatment,Sample.1,EPSPS_het,EPSPS_cov,EPSPS_copy,EPSPS_err,EPSPS_fit,EPSPS_length,scaling,EPSPS_scaledcov,EPSPS_scaledcopy,EPSPS_mapped_cov_mean,EPSPS_mapped_cov_var,Env.y,Pop.y,Unnamed: 28,Unnamed: 29,Pair,plinkorder,sample2,decimalLongitude,decimalLatitude,SeqNames,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,year,land_cover_class,top_class_1000m,proportion_agricultural_1000m,shannon_idx_1000m,proportion_natural_1000m,Unnamed: 49,Unnamed: 50,BIO4 = Temperature Seasonality (standard deviation ×100),Shannon idx,fipsx,"2,4-D",ATRAZINE,DICAMBA,GLUF OSINATE,GLYPHOSATE,METOLACHLOR,bio_17,bio_10,bio_01,bio_04,bio_15
4862,97.5,2.48,12.5,0.00183,0.673,543953470.0,543.95347,Baldwin_Ag_34_F_Co,Baldwin,34.0,Ag,F,Co,4862.0,0.1,17.8,1.412698413,0.00396,3.07,9905.0,0.9905,17.6309,1.399277778,0.988185,0.111893,Agricultural,Baldwin,,,17.0,33.0,4862.0,-95.171401,38.782048,P17_Ag,,,,,,,,2018,"Developed, Open Space",Pasture/Hay,45.95875139,1.717661031,45.95875139,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,1.2132852e-08,299.45386,286.4504,1047.7438,0.49105367
4866,97.4,2.56,13.6,0.00348,0.949,515610240.0,515.61024,Pontoon_Nat_11_F_Wa,Pontoon,11.0,Nat,F,Wa,4866.0,0.00463,27.2,1.732484076,0.00644,2.28,11739.0,1.1739,31.93008,2.033763057,2.322241,0.395539,Natural,Pontoon,,,6.0,160.0,4866.0,-90.068054,38.699066,P6_Nat,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,42.34383637,1.522509971,42.34383637,,,,,17119,10957.8,47218.0,11931.3,5652.4,93448.2,5852.5,3.0459518e-08,298.86435,286.64774,1022.4627,0.36846083
4869,97.0,3.0,12.7,0.00242,1.06,509096128.0,509.096128,Kansas_Nat_131_F_Wa,Kansas,131.0,Nat,F,Wa,4869.0,0.0317,13.3,1.064,0.00643,0.44,10263.0,1.0263,13.64979,1.0919832,1.052222,0.227898,Natural,Kansas,,,16.0,90.0,4869.0,-95.239938,39.001464,P16_Nat,,,,,,,,2018,Woody Wetlands,Cultivated Crops,39.82127897,1.933302765,39.82127897,,,,,20045,7054.8,19566.8,5187.5,3421.4,40296.8,1713.4,9.440709e-09,299.20645,285.90796,1073.8074,0.5576726
4873,97.2,2.84,11.1,0.00247,0.64,538334505.0,538.334505,Bradley_Ag_28_F_Co,Bradley,28.0,Ag,F,Co,4873.0,0.0046,22.1,1.625,0.00592,0.997,11269.0,1.1269,24.90449,1.8312125,2.100591,0.285796,Agricultural,Bradley,,,14.0,85.0,4873.0,-87.81988903,41.16467102,P14_Ag,,,,,,,,2018,Cultivated Crops,Cultivated Crops,69.40071803,0.983290477,69.40071803,,,,,17091,7599.6,67040.6,9814.2,9303.1,108801.1,7824.2,2.6512279e-08,296.63098,283.97635,1040.8037,0.32317045
4875,90.4,9.58,20.1,0.0135,1.23,246497027.0,246.497027,Weston_Ag_104_F_Wa,Weston,104.0,Ag,F,Wa,4875.0,0.18,19.7,1.551181102,0.00625,2.26,10491.0,1.0491,20.66727,1.627344094,1.200646,0.328376,Agricultural,Weston,,,1.0,109.0,4875.0,-83.79889,41.37218297,P1_Ag,,,,,,,,2018,"Developed, Medium Intensity",Cultivated Crops,82.48962656,0.6960728422,82.48962656,,,,,39173,20519.3,51872.6,3321.8,7535.9,120506.6,6009.6,2.747639e-08,296.08673,284.08786,990.5662,0.29595977
4876,96.9,3.13,14.8,0.00303,0.73,553376427.0,553.376427,Maume_Nat_35_F_Co,Maume,35.0,Nat,F,Co,4876.0,0.0168,15.2,1.369369369,0.00482,0.507,11320.0,1.132,17.2064,1.550126126,1.0588,0.135793,Natural,Maume,,,1.0,66.0,4876.0,-83.66247503,41.55656599,P1_Nat,,,,,,,,2018,"Developed, Low Intensity","Developed, Low Intensity",4.182825485,2.059166944,4.182825485,,,,,39095,4022.6,12178.8,617.0,1442.2,23929.0,1283.7,2.7012604e-08,296.11554,283.69983,1012.9189,0.2776276
4882,97.3,2.71,13.0,0.00226,0.802,541781510.0,541.78151,MarkTwain_Nat_53_M_Wa,MarkTwain,53.0,Nat,M,Wa,4882.0,0.00244,31.5,1.567164179,0.00546,1.87,11983.0,1.1983,37.74645,1.877932836,2.747158,0.722319,Natural,MarkTwain,,,10.0,106.0,4882.0,-91.68243396,39.46407096,P10_Nat,,,,,,,,2018,Barren Land,Deciduous Forest,33.64797335,1.603964952,33.64797335,,,,,29173,6181.3,21133.4,3478.9,16007.1,46770.7,8687.6,2.3983871e-08,298.90726,286.15054,1057.2158,0.35395035
4886,97.2,2.82,13.0,0.00286,0.719,529736917.0,529.736917,Mulberry_Ag_180_M_Wa,Mulberry,180.0,Ag,M,Wa,4886.0,0.00452,23.7,1.601351351,0.00732,1.44,11571.0,1.1571,27.42327,1.852923649,2.128193,0.362913,Agricultural,Mulberry,,,5.0,15.0,4886.0,-89.272475,38.755485,P5_Ag,,,,,,,,2018,"Developed, Open Space",Cultivated Crops,39.82300885,1.76620195,39.82300885,,,,,17005,6741.0,24958.5,8448.9,4030.5,60385.5,3878.4,3.4570604e-08,298.82028,286.79904,1015.1073,0.33375627
4887,96.9,3.07,11.8,0.0028,0.706,526940977.0,526.940977,HWY66_Ag_60_F_Co,HWY66,60.0,Ag,F,Co,4887.0,0.00493,21.5,1.653846154,0.00713,1.68,12040.0,1.204,25.886,1.991230769,2.148926,0.357236,Agricultural,HWY66,,,13.0,76.0,4887.0,-88.66930699,40.82949003,P13_Ag,,,,,,,,2018,"Developed, Low Intensity",Cultivated Crops,88.32136941,0.4664604114,88.32136941,,,,,17105,13684.8,112573.9,19155.7,18440.1,195493.8,14489.9,2.3720114e-08,297.04355,284.3794,1066.926,0.35993263
4888,96.9,3.15,15.1,0.00281,0.751,530709830.0,530.70983,Maume_Nat_160_F_So,Maume,160.0,Nat,F,So,4888.0,0.0323,15.4,1.184615385,0.00379,0.695,11350.0,1.135,17.479,1.344538462,1.015014,0.124533,Natural,Maume,,,1.0,71.0,4888.0,-83.66247503,41.55656599,P1_Nat,,,,,,,,2018,"Developed, Low Intensity","Developed, Low Intensity",4.182825485,2.059166944,4.182825485,,,,,39095,4022.6,12178.8,617.0,1442.2,23929.0,1283.7,2.7012604e-08,296.11554,283.69983,1012.9189,0.2776276
